Martie,Aprilie,Mai,Iunie,Iulie,August
0,0,0.51,2.79,0,0
0.25,0,0.25,20.57,0,0
0,0,0,0.25,59.69,0
0.25,0,0,0,30.73,0
0,2.03,27.69,0,0,0
0,0,21.08,0,0,-
0.76,11.18,1.78,0,-,0.51
0,0.25,3.05,15.49,1.02,11.94
0,0.25,9.4,9.14,0,0
0,0,47.24,0,0,0
8.89,0,0,0,-,0
0,0,0,16.76,6.1,0
0.76,0,1.27,0,0,-
1.52,0,7.37,0,0,3.05
0,0,2.29,0,6.1,0
0,0,1.27,0,-,-
0,9.65,2.03,0,0,0
0,5.33,0,0.76,0,0
0,0,0.51,0,0,0
0,30.99,0,0,0,0
0,5.08,12.7,0,0,2.03
0,0,0,1.78,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.51,0,6.86,0
0,0,20.83,0,0,0
0,0,6.35,6.1,0,0
0,0,2.03,0,0,-
0,0,0,0,0,29.21
0,16.26,0,0,0,0
0,81.02,0,73.64,0,0
12.43,,168.16,,110.5,46.74
